id,text,text_short,emotion_gold,worry,anger,disgust,fear,anxiety,sadness,happiness,relaxation,desire,nchar,ntok
324,"I feel worried that a cure won’t be found, I feel anxious about getting it or passing it to my children. I’m worried for the economy and how the country will cope if this carries on any longer. I am worried that there will be riots at some point. Every one seem to be turning on each other, and grocery stores are becoming like a battle ground. Everyone is on edge and snappy and I really don’t like where this country is headed. I have been at home with my children because all schools have shut down. I haven’t seen my family in over a month now, my children’s lives are being changed so drastically and I don’t know how much longer we can manage financially. ","I really hate the way we are all scrutinising whether or not people are buying “essential items” it’s supposed to be a free country the economy has suffered enough, let them buy what they want, it’s not your business!",anxiety,5,2,2,5,7,2,1,1,1,662,136
325,"The pandemic is giving very anxious feelings. Corona situation is making me feel sad and fearful all the times. The  sudden situation has become very unpredictable. It feels like going out is not safe and the coronavirus is chasing everybody. Staying home is the only option to remain safe. The lockdown is also very fearful situation. I think everybody would have the same feelings.
The pandemic is giving very anxious feelings. Corona situation is making me feel sad and fearful all the times. The  sudden situation has become very unpredictable. It feels like going out is not safe and the coronavirus is chasing everybody. Staying home is the only option to remain safe. The lockdown is also very fearful situation. I think everybody would have the same feelings.",The pandemic is giving very anxious feelings.,fear,9,3,5,9,7,8,4,3,5,767,142
326,i am worried about my family's health and the state of the economy. i am worried about my nan and older relatives. i am worried about how long this will  last and when things will get back to normal. i am worried about the elderly in society and people who have nobody to talk to or help them. also how it has spread around the world so fast it is very worrying and it can affect the global economy. will the nhs be able to cope in this situation. what about the education of children and their gcse and alevel results going to university,i am worried about how long this will last and the lasting effects,anxiety,5,3,3,7,7,6,3,3,3,538,110
327,"I am very worried about the corona situation as I have an underlying health condition putting me at risk. I also haven't left the house in over 2 weeks now, and struggling to get a grocery shopping slot, and am worrying how I am going to get my groceries as I don't drive nor have anyone to help, so it is scary. I also do not like the uncertainty of the situation, as no one knows when we will be out of lockdown nor when we will be back at school, as I am doing a placement in a school and I was near the end of my course, so I may not even be going back to the school, which sucks.",Very depressed and scared about the world.,anxiety,7,3,6,8,9,7,2,6,1,584,132
328,"Feel worried about catching it or passing it on to someone else. Feel worried about going out the house. Feel concerned how long this will go on for - can’t go on forever and feel nervous about staying in the house all the time (although am doing so). Worried about income as that has dropped for me so added worry about how long we will be in lockdown. Feel angry that people aren’t sticking with the lockdown and could mean we can’t go out for exercise
Every time you get a sore throat or anything you feel worried in case it’s Coronavirus ","Worried, scared and anxious. How long can this go on for?",fear,8,4,2,8,7,7,5,5,5,542,108
329,It makes me angry that the media is feeding lies into society to drive fear. It is disgusting how many people are happy to submit to a state enforced home incarceration regime. It is easy to fool people but difficult to convince them they are being fooled. One day they will realise the truth but by then it will be too late. Keeping people under house arrest will not stop the spread of the so called virus. The level of imposed control and over reach of powers by the police is draconian and extreme.,"The """"""""""""""""virus"""""""""""""""" doesn't exist. You are being given a narrative by mainstream media to fuel fear so they can impose their """"""""""""""""power"""""""""""""""" to control you. They say if you go outside """"""""""""""""PEOPLE WILL DIE"""""""""""""""" in their adverts. People will die regardless of your indoor or outdoor location. Wake up.",anger,1,5,5,1,2,1,4,3,3,502,100
330,"I am feeling scared about the fact I don’t know if life will ever return to normal. I’m feeling lonely as I am on my own in my home. I am very worried about finances, especially as one job was due to end at the end of the school year but obviously I can’t be searching for work to replace it right now. I am missing my friends and family and feel anxious when I think about the fact I don’t know when I will be able to see them again. I have to go to the doctors for blood tests because of my underlying medical issues and had a panic attack actually leaving the house properly for the first time. Looking out of the window everything looks great and then suddenly you remember that things just aren’t what you are expecting them to be, and it’s terrifying that you just don’t know what is coming next. ","'@corona I’m over this now, get lost please 😩",anxiety,8,3,1,8,9,6,5,3,8,803,165
331,"I'm anxious and concerned about the entire situation. Very sad regarding everyone who have lost people over the entire world.
Uncomfortable re whether or not the correct message is getting through to people.
Some other countries are facing a dire situation and I am concerned that inappropriate desitions may be made that may cost additional lives.
At home I worry for some of the elderly members of my family plus it is frustrating trying to get younger members to appreciate the full danger s of the situation.","Sad, troubling situation that the world is facing today",anxiety,7,2,1,6,8,7,4,5,1,512,92
332,"I feel really worried and stressed about this whole situation. My job is demanding, i am struggling at home and i am in a bad place. I am not sleeping and my relationships are suffering. I feel anxious all the time and am constantly down.

To top it off i am sad because my cat has gone missing. I feel like my life is going wrong. I don't know how to make it better or get through this. 

My toddler is playing up all the time and my marriage is breaking down too. I never imagined 2020 would be such an awful year.","Feeling very sad today, need to see some light ",sadness,6,2,1,6,6,9,2,3,3,516,113
333,Currently working from home missing normal daily work life and colleagues. Missing and worried about my parents who are at high risk and self isolating. Just wanting life to get back to normal and everyone be safe and well and listen to advice about staying at home and keeping there distance from other people to prevent the virus from spreading further. Looking forward to travelling again and taking trips with my partner to parts of the world we have not yet seen or discovered. Even just going on nights out for a meal and to the pub or socialising with friends and family. Gutted to have had to cancel a family holiday already and some special family birthdays which we had plans for and was looking forward too. Having to post presents instead of giving them to those celebrating in person.,Currently on lockdown working from home which may sound like bliss to others but it’s difficult to work and live in the same environment day in day out when you have led such a active and sociable working life. But we must stay home and stay safe to protect those that we love.,anxiety,7,4,1,6,7,3,7,3,3,798,148
334,"I am scared and worried. I am a key worker in retail and in the front line serving and touching people all day. I am scared of getting covid 19 from someone and as I’m 51 and my partner 56 it could be risky. 
I’m scared of customers getting abusive if they can’t get the goods they need or they have to queue. 
I’m scared of having to go off sick and not being able to afford my bills. 
I miss my mum and siblings and niece and nephews as I can’t see them. 
I miss being able to go out for a meal or drinks when I want. 
I’m scared of anything happening to my loved ones. 
I just want life to go back to normal. ",Scared and worried about the current situation. I’m worried about my family and friends and I miss them. Someone reassure me it’s going to be ok and life will be back to normal soon,fear,9,2,2,9,9,8,4,4,6,612,136
335,"At the moment I feel like I am doing everything I can to protect myself as an individual from the Covid-19 virus. The UK government were a little slow to react and did not take it as seriously as I would have liked, but seem to be doing and saying the right things now. I am looking at other countries data from around the world and things are starting to look more positive from Italy and Spain, where hopefully the figures have peaked as they continue to ‘flatten the curve’. In America the state of New York they still seem to be having a real problem with getting the situation under control, I hope the president will listen to health experts as they monitor the situation.",I am looking at the data in Spain/Italy for Covid-19 and hopefully their figures have peaked in terms of deaths per day. I hope that the UK figures will also show this in the next couple of weeks.,sadness,6,1,2,2,1,2,8,8,5,678,135
336,"I feel this is a learning curve for the future, we have never seen anything like this before, we were to slow to respond so  I hope that lessons can be learned. I hope we we still come together and support each other and invest more in healthcare and vulnerable people when this is over. I have not been affected to bad as i can work from home and keep my family safe which is all you  can do at the moment.  I am hoping this is all over within a few months but things could get worse again once things get back to normal if people start getting sick again. ",Please look after each other in these crazy times.,sadness,6,2,1,3,4,6,1,5,2,558,117
337,I am worried about covid 19 and I fear for my family. I have done everything I can to make sure my family stay safe and hopefully we will get through this virus. We have followed the advice from the government and have stayed Inside. I also worry about the food situation with all the people panic buying. I am grateful for the NHS stay and key workers who will help us through this.  We watched the queen give her speech  last night which I feel would have given some co fort to the country. I have read up on this virus and tried to prepare myself incase I or any members of my family get it.,I am worried about covid 19 and worry for my family. I believe we can get through this virus and as long as we all stay calm and not panicbuy we will get through. Please try to remember to wash your hands as much as possible and followed the lockdown rules. Stay safe. God bless x,anxiety,8,2,5,8,6,6,8,6,6,594,124
338,I feel anxious about what’s going to happen.will I keep my job and afford my bills or will a loved one get it and die. I also feel like I’m going mad because I have ore existing health conditions I feel like every sneeze or cough and I’ve got it and it’s game over. I live alone so have nobody to help combat my anxiety or entertain me and take my mind of things. I feel angry at times because some people are not listening to the governent and I don’t understand why.i also feel sadness that some friends have lost loved ones to this,This is a very scary time.its an unsure period where nobody knows what the future holds or when this madness will end.its killing people around us and we the ones that are spreading it by not listening and following rules.nobody is special or safe from this.my anxiety levels high,anxiety,8,2,5,8,8,7,4,4,1,534,108
339,"I am worried for my family. I try not to read the news anymore
There is a new case all time and I'm so worried. I clean all my shopping with disinfectant wipes when it arrives. I shower when u come in from the garden. I can't sleep at night because scary thoughts come into my mind.  No body is safe. Look at Boris. The world has complety changed and I worry for my family in the future and now.
Can't buy anything from my shop. Can't even get a home delivery slot.
There is no getting away from it even if i wanted to.
",So worried about #covid19. No getting away from it.,anxiety,8,3,3,9,9,7,2,1,1,520,116
340,"I feel we aren't really strict enough with our measures in this country and a lot of businesses are taking advantage of this and still running when they shouldn't be. A lot of key workers are very worried to go to work just now. 

The business I work for has put some measures in place to socially distance ourselves a bit but the nature of our work is manufacturing, so we need to work as part of a team and work together in close contact with one another.

I am wondering what is going on with the Prime minister just now & I am wondering if someone else should be stepping in just now to run the country whilst he is in the hospital getting treatment. If he is in the hospital then it must be fairly serious.","When tweeting about your boredom, have a thought about all those key workers who have to go out and work and wish they were at home safe",fear,6,4,6,6,5,5,6,4,4,711,144
341,"I am very anxious at the moment. I have generalised anxiety disorder, and usually my mood is well controlled and stable. This current situation however has undone a lot of the work I've managed to do in the past few years to take control of my mental health.
As a microbiologist, I have volunteered to work in one of the government testing centres and I feel like this will help me manage my anxiety however, as it will help me feel like I have a part to play in managing the situation. Other than that, I am sadder than usual, and I feel like I have lost faith in some people who are not taking the advice and warnings of the WHO and government seriously. ",I am pretty sad now. My anxiety is through the roof and I want things to go back to normal. Everything I've done to fix my mental health has been undone and I'm feeling pretty broken right now.,sadness,6,2,2,4,8,8,3,1,1,657,135
342,"I feel anxious as I don’t know when we will be released from quarantine. I also feel anxious as I don’t want any of my family members to become ill. It is quite nerve racking, I’m also hoping that   we will be back out by summer time. I don’t want a summer to go to waste. I hope that at the moment, everyone is okay because it would be difficult to deal with any sort of illness right now. I’m also quite angry about the people who are going out as they are compromising the safety of others and also prolonging the quarantine time; this is giggly agravating.",All you guys that are going out need to stay at home because this ain’t a joke. Even Boris Johnson is in intensive care what makes you think you’re invincible. Lowe it.,anxiety,5,4,4,5,6,3,5,4,4,560,117
343,"At this moment in time I feel annoyed because many people are ignoring the Quarantine rules despite knowing the consequences. They are going to their friend's houses, going to public parks and socialising and not taking anybody else into consideration. By doing this they are putting the rest of us at risk. I feel like the current lock down will be extended because of people's inability to follow simple rules.
I also feel worried because many people are dying from the disease. Quite a few people's parents are dying and I find this worrying and upsetting. The fact that people have to dies a lonely death is quite disturbing.

Lastly, I feel rather isolated. I am staying with people, but it would be nice to see my friends. Facetime and Houseparty will have to do for the mean time.",It's so cheeky how people are going to their friends houses when the rest of us are stuck indoors. I'm actually vexed.,anxiety,7,7,5,7,7,4,4,5,5,787,152
344,I feel very worried and anxious seeing how high the death toll and the confirmed positive cases keep rising each day. Everything seems to dark and bleak right now. People are constantly dying and losing their loved ones. It seems like there's no hope out of this situation. All I can do is pray everyday that God has mercy on us all and turns His wrath away from us and helps us out of this situation. It makes me angry to see people disobeying the rules and advice set by the government and causing more damage to the country and putting a lot of strain on the NHS.,"This situation would be solved if only the nation would repent and turn to God for help. People should listen to the advice given to them, not disobey them. #StayHomeSaveLives #OnlyGodCanHelpUsOutOfThisMess",sadness,9,5,1,9,9,9,1,1,1,566,114
345,I feel sad and lonely to be honest. Everything within my life has changed; I’m adapting to working from home which isn’t easy - I miss the little things like laughing with colleagues on a daily basis or simply being able to walk to and from work everyday. When it gets to the weekend the prospect of not being able to do anything is upsetting. I’ve wanted to try and do something productive during my down time but can’t draw myself to motivate myself to do anything effective. This makes me feel worse even still and fees like I’m wasting some of the time to an extent.,"Over a couple of weeks life as we knew it changed. Lockdown is 100% the correct thing we should be doing a nation - in it together, but at the same time you shouldn’t feel discouraged to express how you truly feel. I for one won’t be taking for granted mundane things in my life! ",sadness,6,2,1,4,5,8,1,2,1,570,113
346,"Global disaster that doesn’t affect you until it does. I don’t know anyone who has had or has it, yet it clearly affects a lot of people. I’m looking forward to life getting back to normal as it’s difficult juggling working from home and raising my child. I mostly just feel tired and lethargic, staying indoors is energy sapping. I worry about myself getting it, mainly because I don’t want to be fully quarantined for two weeks. Throughout it all I have to wonder how this thing really started, and how long it’s really been around for.","I feel fine in myself but I’m missing human interaction and being able to socialise with friends and family. My son really misses his grandma and grandpa and speaking to them through FaceTime just isn’t the same. He’s too young to really understand what’s going on, must be hard. ",anxiety,6,1,1,1,2,1,1,6,4,538,107
347,"I'm not worried about the effects of Corona on my personal well-being, but I'm concerned about the long-term economic consequences of mass quarantine. I find it frustrating how scared and anxious most people seem to be because of Corona, even though it poses little to no threat to the majority of them. I think the current measures meant to stop the spread of the virus will do more harm than good in the long run, because life can't just stop for several months. I do, however, appreciate the new opportunities to spend more time by myself at home, including working from home (which I've never done before).","The world is overreacting to the Coronavirus. It's going to get worse, but not in the way people expect.",anger,2,5,4,1,2,1,4,6,3,610,119
348,"At the moment I feel very sad about the experiences I am missing out on because of the coronavirus situation – I have had to leave University early and am now unable to spend time with my partner. I am also angry at the unfairness of the situation and at how the government has chosen to handle the issue. I do feel anxious about the threat of coronavirus against my personal heath and that of my family and friends, and it is also worrying to think about the effects this situation will have more widely, economically and socially. It feels frustrating that there is no clear end in sight. ","The coronavirus situation in the UK in and of itself, and the government's response, is understandably provoking anxiety and frustration. ",sadness,6,7,3,5,8,8,2,4,2,591,115
349,"I feel scared and anxious about the situation, and generally not knowing when this is all going to end. I hate that we can't do our usual daily tasks, or see friends and family, and I am also quite worried about my job - as for now my workplace is closed (temporarily) but who knows what will happen if this continues. It's obviously the best thing but it worries me that over time, it will be less and less likely that we will be able to get back to normal. I don't know what else to really say that I haven't already said",Really scared and anxious about the current situation. Who knows when this will all end and if we will ever get back to normal?,fear,8,5,2,8,8,8,3,1,2,523,112
350,After weeks of anxiety and stress concerning the coronavirus I have started to feel more at peace. I have settled into a new routine and have kind of got used to the new normal. I have stopped worrying about what I cant control and focused on what I can eg. staying at home. I am looking forward to the day when life can become normal again and taking time to reassess life and my goals for the future when the pandemic is over. I am doing what I can to help myself and others to make it out of this situation healthy and well.,Finally getting used to the new normal.,relaxation,5,3,2,6,7,6,4,7,2,527,110
351,My feelings at the moment are that this country is ill prepared to face this pandemic.  I think there are a lot more cases than is being reported in the news.  I'm also wondering who is leading us with the prime minister being admitted to intensive care and when are we going to turn the tide in our favour.  I am restless from being cooped up indoors and have recently been furloughed which brings money worries into the equation also.  I have written this as a string of conscious thoughts which are looping over and over in my head and kick back in with every coronavirus headline notification I get on my phone.,This whole coronavirus situation can pretty much be summed up with the term fear of the unknown.,anxiety,5,2,3,3,7,1,5,2,3,615,118
352,"I miss my friends and my life as normal. Being in the house 23/7 is getting grating. 
The news is mixed and varies every day. 

We don’t know what the future holds. Checking in on everyone I know is getting exhausted. 

Fear what will happen as this progresses. So many people have already died. The economy has crashed. What will happen to us? We can’t hide inside for ever can we?

Working from home has certainly taken some getting used and I fear my job will suffer because of it.  I miss the variety and freedom my life had just a few weeks ago. ",Feel sad. Stay safe. Send hugs and good vibes and maybe a pizza,anxiety,8,6,3,7,9,7,6,6,5,551,118
353,I am concerned about the risk of the disease to my family and my parents and inlaws.  It feels quite away from us and that we are safe but I worry we won't be.  I am enjoying running most days. I am concerned for businesses as some most be going bust.  I am worried about my holidays in the summer and if I can't go what will happen to our money.  I am also worried about going back to work and my kids going back to school and how we will manage to get back into a rountine.  However I am enjoying being with my family and a slower pace of life. I am catching up on myself and things I wanted to do.,Stay at hone. Stay safe let us get back to normal soon,sadness,5,2,1,4,4,6,2,2,1,601,132
354,"Currently I feel on edge as everything is very much unknown. I wish that there was a date where we know that this will all definitely be over by to give us something to hold on to, but I know that this is not possible. I fear for the children that I work with and I hope that both themselves and their families are safe. I am concerned of the impact on children's education where they are likely to be out of school for a prolonged period of time. I am worried that my father will catch the virus and as he has underlying health conditions, I pray that this would not be fatal. I am concerned for my own mental health as I am living on my own and am already finding this difficult - I wonder what my mental health will be like weeks down the line. I am thankful for everything that each and every key worker is doing and I am grateful that communities are pulling together to help one another in times of need.",Anxious. Nervous. Worried. When will this end?,anxiety,7,2,3,7,8,5,2,4,1,910,188
355,"I'm sure my anxiety levels are significantly higher that usual. I know someone who is being treated at the moment and it could go either way so this is upsetting me and my sleep has been interrupted, When I watch the news or speak to a friend or family member it is the main or often the only subject of the conversation so the focus is on Coronavirus pretty much all the time. I find the best time of the day currently is when I go for a walk as my daily exercise opportunity. Although the social distancing measures make that seem a little strange as well when you have keep at two metres away from people you actually know, should you see them.","This virus needs to go away now. It's causing untold heartache for people and levels of anxiety across the world must be at an all time high. It is all encompassing, probably more so than any war.",anxiety,6,3,3,5,6,6,2,3,2,647,130
356,"I am upset and annoyed at the virus and how many it is killing, harming and the damage it is doing to businesses, people's livelihood etc. I am not myself worried about contracting the virus or on how it will affect my income, thankfully. It has put a halt to everyones life which is an annoyance but hopefully it will be over and we can once again return to how we used to be. I miss friends, football and my daily life but i know that they arent playing second fiddle to this virus, i want people to respect it and stay indoors and listen to the government guidance.",Fuck this virus,anger,2,3,1,1,1,1,1,2,1,568,118
357,"At the moment I am feeling very worried about the corona situation as my mum is diabetic and has other health problems and I live at home with her, I am scared I will catch the virus from visiting a busy place like a supermarket or other essential place I need to go and pass it onto my mum, this thought is giving me a lot of anxiety. I am also worried about the number of deaths in my city as the number is slowly rising and the number of infected is getting quite high too. I'm also worried that I wont be able to find a job as I have been unemployed for several months now","Hate Corona, retweet #FUCorona",anxiety,8,1,2,7,9,4,3,4,1,576,121
358,"At the moment a little anxious as i have been furloughed and I'm not sure i will have a job to go back to. Also it is unclear when this is likely to end so we don't know what the economy will be like.

The anxiety comes as if i lose my job I'm wont be able to provide for my family and if there is a recession also then it will be difficult to get a new job. The main anxiety is around my family and if i will be able to provide for them as well as other members of my family who are in the high risk category. ",Been furloughed not sure what it will mean for my job. Hopefully we will get through this.,anxiety,7,5,5,7,7,6,2,4,1,511,115
359,"I wish I knew how long this would last for and that everyone I care about will survive it, not just physically but I am concerned for their mental well being too and my own mentalhealth. I am not going to see a soul for many many days and already haven't for about 17 days. I am sad for all the suffering that is happening and the injustice of the nhs workers and the carers dying for lack of safety equipment. I am sad for those experiencing grief in the worse way possible as they can't be with their loved ones or have funerals attended in the normal ways. I am curious about what life will be like for us all when all this is over. I tend to think of it as this year is a right off and I hope next year the coronavirus will have passed as I can't cope with the uncertainity of not knowing how long this is for. But I am afraid that I might be wrong and that it may last for longer than a year. I wish I could just go to sleep until it is all over and the pandemic is over.",Another day of this coronavirus season. I know I have to stay in and alone but my God it is hard and I am scared for my mental health. Anyone else feel the same?,sadness,8,1,1,5,5,8,1,1,3,976,210
360,I feel that the situation is so big it’s unclear where this will end. I’m still getting my head around how much this has affected my family’s lives and routine. We’ve reviewed everything from our jobs to childcare. But we’re looking at the positives and doing our best to stay safe. Communication with family is important and making sure we use common sense with keeping ourselves as safe as possible is a top priority. That’s the main thing- I think our priorities have totally changed! What matters now is our safety- not so much anything else. Who wants to be the richest person in the graveyard? I also feel guilty that our Carers and NHS staff and countless other Key Workers are out there taking risks for the sake of the rest of us. They’re pretty stuck and I’m sure don’t want to be in this situation.,Feeling in awe of all my friends and family who are out there risking everything because they have no choice right now. Sending love you are my heroes!,relaxation,5,1,1,2,2,1,4,5,5,809,157
361,"Sadness for those who are dealing with the loss of family, friends and loved ones.  Concern for people who have to keep working - whether shop staff and delivery drivers, transport workers, key workers, NHS and other people in blue light roles.

Some anger and despair at how badly the government are handling this and communicating about it - such garbled and badly phrased messaging which doesn't resonate with people. Furious that the government continually lie, about the number of ventilators, tests, availability of PPE kit.  I despise Matt Hancock and Boris Johnson for decimating the NHS of funds and setting the route for privatisation of medicine in the UK, and now they expect the NHS to save their political careers.",Despair at yet another press conference with hoplessly garbled messages,sadness,5,4,1,3,1,6,3,3,1,728,134
362,"I am feeling very anxious about the unknown, because nobody knows how is it going to end up. I have also been worrying about if my family catch the virus and lose their life to it. It is very scary and stressful time. I just want it to all be over. Hopefully it will be soon, but I fear it won’t be soon enough. Stay safe everyone and follow the guidelines, please. If not for yourself then do it for your future generations. Stay at home and thankful forever for our amazing NHS workers! Absolute heroes","Worrying about the unknown, please stay at home.",anxiety,7,3,2,8,9,6,3,5,5,504,107
363,"I am anxious because i think the plateau we are in is going to lead to a false finish. People are going to see the numbers this week and then start forgetting about social distancing. I imagine another spike in June and then maybe another in octobre. I fear that next winter is going to be the """"""""""""""""real"""""""""""""""" hit, when we think we are past it and stop taking precautions. I dont expect medicine to be available for a while because vacines are hard and rushing them through will cause more damage if they end up hurting people or not having a good enough efficency to curtail covid.",Shits fucked.,anxiety,6,4,7,6,8,2,4,5,2,575,118
364,I feel very concerned about people I'm close to getting the virus. I also feel concerned for the economy and what this means for people's livelihoods. I feel very concerned about what the world will look like when we get out the other side and how long it may take to get back to normality. I worry about the impact of lock down on people mental health and relationships with those in their households. I also feel some hope because it's been great to see the impact the virus has had on the sense of community,"Coronavirus sucks :( Stay strong, keep loved ones close",anxiety,6,2,3,7,7,7,5,4,3,510,100
365,"The prime minister just went into ICU, so my anxiety and fear it high at the moment. My chest feels tight. This is huge.

I am not anxious about lockdown or staying at home - I am anxious about the number of people in the UK needing the ICU and our NHS’s ability to cope.

I am anxious that the curve is not flattening quickly. Will this end? How many people will be lost.

I am worried people out there working, such as my ICU nurse sister in law and feel guilty surrounding any deliveries we have.
I worry about my job and my own company and I wonder about the ethics of luxuries and I worry about people who may be suicidal. So many emotions. It’s many ups and downs but right now my fear is very high and my thoughts are racing. This is a scary moment ",How will we ever return to normal life after this? How will be mourn?  How will we grow? We have to learn lessons.,fear,8,6,4,9,9,7,4,3,1,756,162
366,I feel very afraid and frustrated with how some aren’t taking it seriously. A colleague has died from this and it all changes when it’s someone you know. Also when you are not an essential worker or a key worker and told that but are made to go into work travelling on tube it’s very stressful. I feel like my brain can’t comprehend what is happening around me. I worry for my family and friends. I Struggle with anxiety anyway and this is just crazy. Thankfully I can sleep but I find every day exhausting. I feel very very scared and worried.,"Brain can’t comprehend what is happening and how the world has changed, so much suffering and loss, scared of how much worse this will get, miss seeing my family so much. Wish that I wasn’t forced to put myself at risk on tubes for work when we are told we are not essential. ",sadness,8,7,5,8,8,9,3,5,3,545,110
367,"I feel quite sad for the state of the world and generally very anxious about my personal situation. I am a student now without tuition but still with the expectation from my uni of doing my work, which I find myself unable to do. I have formally diagnosed mental health issues that are currently being exacerbated. The fact that I have my flatmates still with me is helpful in many regards and provides some comfort during the social distancing. I have been fearful for the health of my family - my older brother is immunosuppressed and my mother has had pneumonia twice - but at the moment I know that they are safe due to their strict adherence to social distancing and the fact that they live in a semi-rural area away from many other people.",The global situation at the moment is very frightening. I am fearful when I leave my home and so incredibly conscious of hand washing and not touching things. My day to day anxiety is very high and is leaving me with a sense of loss and unable to do the things expected of me,sadness,7,5,6,7,7,8,4,4,5,745,142
368,I'm bored stiffless. When I go to the shops once a week this is the highlight of my day. Im tending to be a bit more adventeous with cooking as this the only variation in my everyday life. My house is the cleanest it has every been as I clean it everyday. I do enjoy going for a walk everyday and have ventured to parts of Sheffield lined up for us to potentially live in the future. I never thought I would be excited to go back to work. I'm scared about the economic future and house prices as well as my pension,So bored right now!,fear,6,3,2,7,6,6,5,4,6,515,109
369,"I am sad and shell shocked at the global level of death. I am worried for the economy, both locally, regarding local jobs, and globally, including my pension investments. I am concerned about how we come out of this crisis and worry how we regain our confidence to go out into society and mix. I think everyone has to be vaccinated for it to end. I am impressed at how my community has come together to help the vulnerable, I hope we learn lessons as a society on how to be kinder to our neighbours. ","I can live with the social distancing, and staying at home, but how does this end? How do we get to be able to not worry about coronavirus? ",anxiety,7,4,5,7,7,6,1,9,1,500,105
370,"I feel if more restrictions were to be imposed the public might actually follow instructions.  Currently instructions are not exactly followed by everyone, perhaps orders and rules might work.  Problems arising in that case would be to Police the orders.  I really feel there should be stricter rules imposed, perhaps a sort of curfew might help.  We need to get this thing done.  The sooner the better.  I am co corned about the impact on the economy.  I feel that the frontline staff especially nurses should have been priority in tests for Covid-19.  Sadly it appears that they have not been priority.  Grave error.","Health of the economy is at steak, lockdown cannot last too much longer.  Priority testing for medical staff & stricter curfew like, instructions imposed.  I fear the Chinese have purposely infected the world for their own progress, they can afford to lose a few of their own.",relaxation,7,1,1,3,2,3,5,8,5,618,116
371,"I think that the lockdown in the UK will lead to an economic situation involving deaths. If the economic situation is sufficiently bad over time,  it could lead to more deaths than the coronavirus. Professor Philip Thomas' modelling from Bristol University says a 6.4% drop in GDP will lead to more deaths than beating the virus. I feel hopeful less deaths will result, if the correct balance is taken. But I also feel a bit worried the government will extend the lockdown. I feel optimistic that most people will recover and the number of deaths will fall. ",Feel uncertain about future growth but hopeful we will beat it.,relaxation,4,1,1,1,1,1,6,8,3,558,107
372,"I feel like the fear and paranoia is increasing week by week. I go through phases of feeling quite relaxed and enjoying the peace, to feeling very anxious and on edge about the situation, as more news comes through every day of the reality, it keeps jolting us back to being terrified. Any normal day activity outside the house like getting medicine from the pharmacy leaves you incredibly paranoid. People are being very kind though and it seems to have united the nation. I worry more about my family members than i do myself. I think a lot of the anxiety is about not knowing when the situation is going to end, rather than the isolation itself. ","Feeling paranoid and weird, this whole month feels like an episode of black mirror come to life.",fear,7,1,1,7,7,5,5,6,6,649,127
373,"I feel waves of anxiety throughout the day. I am very scared of the virus and of contracting it myself. I have a phobia of hospitals and so the idea of needing to be hospitalised is very scary for me. I am also concerned for the wellbeing and health of my family, friends and co-workers. As a teacher, it is likely that I will be needed in school again soon and that makes me feel very anxious.
If I can just stay home I feel safer, but leaving the house to buy food or to go into work makes me panic. I just want this to all be over.",I am incredibly anxious and just want this whole thing to be over.,anxiety,8,6,3,7,8,7,3,5,1,534,119
374,"AT THIS MOMENT IM ANXIOUS - WORRIED THAT MY 2 ASTHMATIC KIDS CATCH IT , WORRIED THAT MY SUICIDAL DAD WHO IS ON HIS OWN WONT COPE IF THEY STOP ALLOWING HIM HIS DAILY WALKS.
WORRIED THAT I WILL LOSE A LOT OF MONEY DUE TO OUR TRIP TO FLORIDA IN JUNE BEING IN JEAPORDY
WORRIED FOR MY SONS FUTURE AS HIS EXAMS WERE CANCELLED
WORRIED THAT MY POLICE OFFICER HUSBAND WILL CATCH IT AND BRING IT HOME
WORRIED FOR MY NHS WORKING SISTER AND HER FAMILY
IM GRATEFUL MY DAUGHTER MADE IT HOME FROM LONDON BEFORE LOCKDOWN AND THAT SHE IS HERE AND SAFE WITH HER FAMILY INSTEAD OF BEING ISOLATED ALONE IN A FLAT IN LONDON ",wish everyone would do as they are told and stay at home - quicker we do then quicker we can all get back to normal,anxiety,8,3,1,6,9,6,1,2,3,603,119
375,"Very worried about how much the situation will worsen and how to keep my loved ones safe. 

Angry about the number of people still failing to take it seriously and endangering others.

 Anxious about how to keep my little one safe and entertained whilst isolated.

 Anxious about my own job prospects and sad about not seeing the wider family regularly.

Sad for those in less fortunate positions who cannot stay safe, have no one and have lost their jobs.
 
Proud of the response of the government and nhs workers.",People need to listen to the advice and keep others and themselves safe,anxiety,9,8,5,8,9,8,3,2,2,515,96
376,"I feel disgust towards a lot of people that refuse to isolate. It also highlights how everyone thinks they are an expert, despite the real experts  admitting they've never dealt with this before.
I have no bad feelings or effects about isolating as I normally isolate myself most of the time.
I feel lucky I live in the UK as we have the NHS. I have a friend in the US who is more worried as their health services are fragmented.
I am a little concerned about catching the disease as I have a high BMI and am pre-diabetic so I can't be sure if I'm classed as vulnerable or not.",Hard to believe people cannot isolate when many millions of people in poorer countries would give anything to have to live in a warm safe house for several months.,disgust,5,7,9,4,5,3,5,6,2,577,118
